timestamp,Driver Square Filtred Current, Wiring Square Filtred Current, Switches Square Filtred Current
25441,None,0.337601,0.344542
25442,0.250378,None,None
25488,None,None,0.352538
25489,0.250378,0.340331,None
25520,0.250378,0.342852,0.364441
25552,0.250378,0.345582,0.378028
25631,None,0.352454,0.396365
25632,0.250378,None,None
25662,None,None,0.386286
25663,0.267759,0.351733,None
25870,None,None,0.289807
25871,0.267759,0.334665,None
25902,0.267759,0.331658,0.300914
25934,None,None,0.312692
25935,0.267759,0.329673,None
26109,0.267759,0.335258,0.326613
26141,None,0.334957,0.319678
26142,0.267759,None,None
26456,None,0.322482,0.298929
26457,0.282407,None,None
26489,0.282407,0.319877,0.286388
26520,0.282407,0.317252,0.286904
26552,None,None,0.289428
26553,0.282407,0.314465,None
26632,0.282407,0.305969,0.299919
26663,0.297046,0.305885,0.307429
26694,None,None,0.311252
26695,0.297046,0.307605,None
26725,None,None,0.310823
26726,0.297046,0.310093,None
26757,None,0.313041,0.319412
26758,0.297046,None,None
27000,None,0.325948,0.381225
27001,0.297046,None,None
27264,0.31313,0.321218,0.301677
27311,None,0.320327,0.321144
27312,0.31313,None,None
27343,None,None,0.329223
27344,0.31313,0.321141,None
27724,0.329727,0.337809,0.343189
27755,0.329727,0.334764,0.321028
27787,0.329727,0.330362,0.295171
27866,0.329727,0.324154,0.277022
27960,None,None,0.304902
27961,0.329727,0.316635,None
28007,None,0.31693,0.318211
28008,0.329727,None,None
28150,None,None,0.306568
28151,0.329727,0.321674,None
28199,0.343874,0.318593,0.291228
28325,0.343874,0.317124,0.301844
28372,0.343874,0.314724,0.301298
28609,None,None,0.268912
28610,0.343874,0.292036,None
29021,None,None,0.367382
29022,0.357348,0.308314,None
29101,None,None,0.316375
29102,0.357348,0.304246,None
29149,None,None,0.281012
29150,0.357348,0.302118,None
29292,0.372788,0.302526,0.28559
29417,None,None,0.124949
29418,0.372788,0.270027,None
29497,0.372788,0.25146,0.015381
29624,None,0.949746,3.91277
29625,0.372788,None,None
29767,None,2.0447,7.593
29768,0.483441,None,None
29798,None,2.23376,7.46139
29799,0.483441,None,None
29831,0.483441,2.45785,7.51213
29926,0.483441,3.08604,7.1461
29974,0.483441,3.26628,6.3929
30021,0.483441,3.29568,4.86798
30101,None,3.31112,2.01317
30102,0.483441,None,None
30148,None,None,0.968447
30149,0.483441,3.30642,None
30179,None,None,0.279468
30180,0.700802,3.299,None
30418,0.700802,3.2802,0.0832409
30497,None,None,0.126857
30498,0.700802,3.29112,None
30608,None,2.65036,0.14255
30609,0.700802,None,None
30927,None,0.361216,0.0838727
30928,0.704429,None,None
30975,0.704429,0.167617,0.0733614
31006,0.704429,0.127491,0.0677258
31037,0.704429,0.126413,0.0688374
31225,0.66759,0.10615,0.134104
31366,0.66759,0.114533,0.124493
31415,0.66759,0.113478,0.116625
31463,0.66759,0.110966,0.109932
31620,None,0.102454,0.0876844
31621,0.66759,None,None
31668,0.629395,0.099349,0.0765353
31763,None,None,0.0820637
31764,0.629395,0.0993758,None
31939,0.629395,0.109124,0.133038
31987,0.629395,0.111845,0.126076
32019,0.629395,0.113046,0.120807
32051,None,0.113356,0.116277
32052,0.629395,None,None
32163,0.597504,0.111377,0.11774
32369,0.597504,0.109628,0.11676
32401,None,0.109985,0.113714
32402,0.597504,None,None
32433,0.597504,0.110129,0.107345
32641,0.597504,0.121385,0.137296
32861,0.570738,0.118187,0.100443
32919,0.570738,0.11555,0.0908703
32985,0.570738,0.111964,0.0766337
33033,0.570738,0.109181,0.0680268
33065,None,None,0.0685692
33066,0.570738,0.108489,None
33097,0.570738,0.108296,0.0748485
33241,0.556976,0.109217,0.130448
33575,None,None,0.101778
33576,0.556976,0.104412,None
33623,0.556976,0.101668,0.0897795
33972,0.543928,0.106829,0.1288
34305,None,None,0.126633
34306,0.534022,0.109065,None
34385,0.534022,0.107199,0.116184
34430,None,None,0.112134
34431,0.534022,0.107065,None
34477,None,0.108463,0.105947
34478,0.534022,None,None
34699,0.52425,0.121632,0.134015
34778,None,None,0.118223
34779,0.52425,0.121382,None
35000,None,0.11124,0.0775427
35001,0.52425,None,None
35032,0.52425,0.109467,0.069499
35065,0.52425,0.108281,0.0668645
35318,0.511885,0.109175,0.129628
35445,0.511885,0.110385,0.107801
35649,0.511885,0.0999779,0.0884384
35696,None,None,0.0757396
35697,0.499025,0.0964433,None
35743,None,0.09498,0.068742
35744,0.499025,None,None
35838,0.499025,0.0973791,0.0940442
35885,0.499025,0.100008,0.116354
35916,None,0.101855,0.125876
35917,0.499025,None,None
35949,0.499025,0.103426,0.132695
36109,0.499025,0.10998,0.116345
36157,0.499025,0.109485,0.117797
36475,0.489447,0.110021,0.106403
36570,0.489447,0.114286,0.121698
36728,None,0.124311,0.129282
36729,0.480476,None,None
36775,0.480476,0.124863,0.121692
36870,0.480476,0.12047,0.106126
36917,0.480476,0.118399,0.0991851
36949,0.480476,0.117117,0.0926107
36980,None,0.115538,0.0869334
36981,0.480476,None,None
37076,0.480476,0.109655,0.0664383
37108,0.480476,0.108984,0.0672579
37489,None,None,0.11057
37490,0.468287,0.109398,None
37521,0.468287,0.108084,0.10688
37536,None,None,0.106555
37537,0.468287,0.107041,None
37569,0.468287,0.105965,0.104827
37625,0.468287,0.103563,0.0968575
37887,0.456509,0.0998944,0.108477
37933,0.456509,0.101998,0.125954
38140,0.456509,0.110084,0.110835
38172,None,None,0.10964
38173,0.447151,0.109398,None
38204,0.447151,0.108624,0.111306
38329,None,None,0.132
38330,0.447151,0.109789,None
38488,0.447151,0.1093,0.115803
38520,None,None,0.110054
38521,0.447151,0.110283,None
38551,None,0.111642,0.115016
38552,0.447151,None,None
38694,None,0.119606,0.135463
38695,0.439328,None,None
38820,0.439328,0.122491,0.113648
38980,0.439328,0.532922,2.18669
39076,0.439328,0.715846,3.14731
39122,None,0.792396,3.49565
39123,0.439328,None,None
39154,0.439328,0.849104,1.94454
39281,0.50475,1.08253,1.86436
39358,0.50475,1.20002,1.87596
39388,None,1.26262,1.91366
39389,0.50475,None,None
39421,0.50475,1.33762,1.97393
39516,0.50475,1.51865,2.05645
39548,0.50475,1.58417,2.14511
39579,None,None,2.38886
39580,0.50475,1.72174,None
39612,None,None,2.99486
39613,0.50475,1.88628,None
39802,None,None,10.4727
39803,0.540268,3.88539,None
39834,0.540268,4.40174,12.1014
40026,0.540268,8.92114,26.6402
40153,0.540268,14.2723,39.2501
40185,1.67866,15.8023,43.367
40201,1.67866,16.875,45.113
40313,1.67866,24.0454,60.417
40438,None,None,82.0514
40439,1.67866,35.4092,None
40518,1.67866,43.2495,99.4861
40565,1.67866,49.2754,109.762
40596,None,52.9742,115.179
40597,1.67866,None,None
40629,1.67866,58.1675,121.335
40708,6.61422,67.8876,135.705
40740,6.61422,73.4801,140.501
40947,6.61422,102.344,164.95
40963,6.61422,105.54,168.065
40995,None,110.659,177.356
40996,6.61422,None,None
41026,None,None,184.942
41027,6.61422,115.868,None
41059,6.61422,122.91,192.815
41217,None,None,257.43
41218,16.1845,155.772,None
41249,16.1845,166.411,275.887
41470,16.1845,235.475,408.171
41628,16.1845,291.64,488.396
41660,16.1845,308.215,510.253
41721,None,None,527.347
41722,37.6295,331.9,None
41753,37.6295,343.922,537.119
41881,37.6295,402.644,587.577
41960,None,438.896,622.07
41961,37.6295,None,None
41992,37.6295,451.856,629.382
42088,37.6295,489.938,637.986
42560,68.6996,647.427,710.44
42608,68.6996,655.555,709.947
42639,None,None,709.534
42640,68.6996,662.025,None
42671,104.188,666.484,709.082
42749,104.188,679.079,706.461
42859,None,None,699.08
42860,104.188,689.002,None
42892,104.188,690.559,696.238
42969,104.188,694.854,690.665
43000,None,None,689.045
43001,104.188,696.44,None
43161,104.188,701.083,688.332
43192,None,None,688.627
43193,138.795,700.843,None
43222,None,None,688.788
43223,138.795,700.341,None
43254,None,None,688.962
43255,138.795,699.741,None
43461,138.795,695.351,691.83
43493,138.795,694.871,692.606
43699,None,692.32,696.172
43700,173.439,None,None
43779,173.439,692.022,696.796
43987,173.439,692.927,694.458
44018,173.439,693.055,693.795
44050,173.439,693.195,692.981
44082,173.439,693.31,692.46
44209,None,693.625,691.602
44210,208.139,None,None
44256,None,693.696,691.331
44257,208.139,None,None
44331,None,None,690.296
44332,208.139,693.646,None
44463,None,693.012,688.412
44464,208.139,None,None
44511,None,692.576,687.715
44512,208.139,None,None
44701,242.479,689.903,682.368
